
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
8.37468863e-01, -9.96468246e-01, 1.01503059e-01, 1.46615438e+01
8.42233062e-01, -9.74706709e-01, 1.01503059e-01, 1.46714697e+01
3.80565619e+00, 1.88137278e-01, 1.01503059e-01, 1.42782564e+01
3.79462552e+00, 1.96286634e-01, 1.01503059e-01, 1.42799578e+01
3.79843450e+00, 1.68971792e-01, 1.01503059e-01, 1.42805681e+01
1.09668646e+01, -7.17537403e-02, 1.01503059e-01, 1.43641567e+01
1.09544458e+01, -8.90188664e-02, 1.01503059e-01, 1.43703032e+01
1.09711914e+01, -9.02655199e-02, 1.01503059e-01, 1.43697195e+01
1.01038110e+00, -9.62645650e-01, 1.01503059e-01, 1.46953630e+01
9.97618973e-01, -9.61983204e-01, 1.01503059e-01, 1.46957350e+01
1.00015867e+00, -9.83714879e-01, 1.01503059e-01, 1.46835051e+01
-5.64944804e-01, 7.28829682e-01, 1.01503059e-01, 1.46752777e+01
-5.57195663e-01, 7.50657201e-01, 1.01503059e-01, 1.46822405e+01
-5.78678846e-01, 7.41449118e-01, 1.01503059e-01, 1.46713600e+01
1.08862276e+01, -1.10693842e-01, 1.01503059e-01, 1.43838663e+01
1.09050093e+01, -1.09484762e-01, 1.01503059e-01, 1.43821745e+01
1.08907776e+01, -9.13166553e-02, 1.01503059e-01, 1.43778973e+01
1.05839996e+01, -8.38699117e-02, 1.01503059e-01, 1.43917961e+01
1.06024132e+01, -8.40203017e-02, 1.01503059e-01, 1.43910398e+01
1.05963316e+01, -6.24524467e-02, 1.01503059e-01, 1.43841419e+01
6.35192394e-01, -1.01994765e+00, 1.01503059e-01, 1.45867214e+01
6.31243765e-01, -1.00318503e+00, 1.01503059e-01, 1.45862684e+01
6.14944816e-01, -1.01587498e+00, 1.01503059e-01, 1.45787401e+01
9.99375057e+00, -1.29890442e-01, 1.01503059e-01, 1.44174728e+01
9.99380207e+00, -1.10554323e-01, 1.01503059e-01, 1.44164419e+01
9.97393990e+00, -1.19288974e-01, 1.01503059e-01, 1.44169588e+01
3.72076917e+00, -3.37091058e-01, 1.01503059e-01, 1.43348656e+01
3.72190046e+00, -3.18164915e-01, 1.01503059e-01, 1.43346186e+01
3.70162559e+00, -3.26032907e-01, 1.01503059e-01, 1.43335924e+01
1.00253286e+01, -5.23068421e-02, 1.01503059e-01, 1.44033718e+01
1.00363455e+01, -6.99169785e-02, 1.01503059e-01, 1.44082642e+01
1.00438719e+01, -5.00361212e-02, 1.01503059e-01, 1.44023132e+01
-7.40013838e-01, -3.55807573e-01, 1.01503059e-01, 1.39870005e+01
-7.35508800e-01, -3.79911840e-01, 1.01503059e-01, 1.39851770e+01
-7.23781526e-01, -3.69143635e-01, 1.01503059e-01, 1.39743195e+01
1.84428036e+00, -1.91557571e-01, 1.01503059e-01, 1.42029324e+01
